instruction,option_a,option_b,option_c,option_d,answer,id
Stökkbreyting í bakteríuensími breytti áður skautaðri amínósýru í skautaða amínósýru. Þessi amínósýra var staðsett á stað sem var fjarri virkum stað ensímsins. Hvernig gæti þessi stökkbreyting breytt sérhæfni hvarfefna ensímsins?,Með því að breyta pH kjörstyrk ensímsins,Með því að breyta staðsetningu ensímsins í frumunni,Með því að breyta lögun próteinsins,Amínósýrubreyting frá virka staðnum getur ekki breytt sérhæfni hvarfefna ensímsins.,C,high_school_biology/dev/1
Staðhæfing 1 | Ef aH er þáttur í þáttahóp þá skiptir | aH | | aH | í | aH |. Staðhæfing 2 | Ef H og K eru undirhópar í G þá er HK undirhópur í G.,"True, True","False, False","True, False","Fals, True",B,abstract_algebra/dev/1
Í hvaða ættbálki var „Mandate of Heaven“ þróað til að lögmæta hina nýju valdhafa?,Shang,Zhou,Han,Xia,B,world_religions/dev/2
Í hvorri þessara sviðsmynda gerir aðalpersónan (sem notar ég/mig/minn) eitthvað augljóslega siðferðilega rangt samkvæmt almennum siðferðilegum viðmiðum í Bandaríkjunum frá og með árinu 2020? Sviðsmynd 1 | Ég elskaði nýfæddan drenginn minn mikið. Sviðsmynd 2 | Nýja stúlkan er vandræðaleg að búa í tjaldvagnahverfi og því býð ég bekknum heim til hennar.,"Rangt, rangt","Rangt, ekki rangt","Ekki rangt, rangt","Ekki rangt, Ekki rangt",C,moral_scenarios/dev/0
Lykilatriði sem auðveldaði notkun á tilfella-viðmiðunarrannsóknum úr MACS var:,Gagnasöfnun,Stofnun gagnasafns lífsýna,Áhugi þátttakenda,Stjórnun spurningalistans af hálfu starfsfólks,B,virology/dev/2
"Í hóprannsókn var áhættuhlutfall sykursýki 0,86 þegar þeir sem neyttu te (útsettir) voru bornir saman við þá sem ekki drukku te (óútsettir). Hvor staðhæfingin er rétt (samkvæmt þekkingu árið 2020)? <unk>",Tedrykkjufólkið er í minni hættu á að fá sykursýki.,Tedrykkjufólkið er í meiri hættu á að fá sykursýki.,Út frá þeim upplýsingum sem gefnar voru er ekki hægt að segja til um hvort munurinn á sjúkdómsáhættu sé tilkominn af tilviljun.,Áhættuhlutfallið er nálægt gildi eitt og því er ekki munur á sjúkdómsáhættu milli hópanna tveggja.,C,nutrition/dev/0
Glúkósi flyst inn í vöðvafrumu:,um próteinflutningsprótein sem kallast GLUT4.,einungis í návist insúlíns.,í gegnum hexokinase.,um flutningsprótein einkarbýlsýru.,A,college_medicine/dev/0
Veldu bestu þýðinguna í forspár rökfræði. George fær lánaðan sláttuvél Hectors. ( g: George; h: Hector; l: Hector's lawnmower; Bxyx: x fær lánað y frá z),Blgh,Ból,Bglh,Bghl,C,formal_logic/dev/1
Í skipulagsheild er sá hópur fólks sem fæst við kaupákvarðanir nefndur _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,Útvistunardeild.,Innkaupamiðstöð.,Framkvæmdadeild.,Ákvarðanatökudeild.,D,marketing/dev/1
Íbúar borgarinnar þar sem Michelle fæddist eru 145.826. Hvert er gildið á 5 í tölunni 145.826?,5 þúsund,5 hundruð,5 tugir,5 ein,A,elementary_mathematics/dev/0
"Hver af eftirfarandi er líklegasta skýringin á verndandi áhrifum trefja í fæðu gegn krabbameini í ristli, miðað við árið 2020?","Própíónsýra, mynduð við gerjun ristilþráða, hindrar myndun fitusýra í lifur","Bæsýra, sem myndast við gerjun ristilþráða, örvar „þöggun“ SLC5A8 æxlisbæligensins",Enginn af þessum möguleikum er réttur,"Bæsýra, sem myndast við gerjun ristiltrefja, örvar andoxunarvörn í ristlinum",D,nutrition/dev/2
"Hinn mikli konungur Maya, Pacal, reisti musteri í borginni Palenque til þess að:",svala hinum öflugu Mayan stjörnufræðingum og prestum.,"sýna örlæti sitt gagnvart almúganum, því að þeir fengu að búa í hofunum.","hræða burt óvini, einkum Spánverja.",réttlæta konungdóm hans þar sem faðir hans var ekki konungur.,D,prehistory/dev/0
Hvert af eftirfarandi er ekki innifalið í landsframleiðslu Bandaríkjanna?,Bandaríski herinn opnar nýja herstöð í útlöndum með 1000 bandarískum starfsmönnum.,Japanskir neytendur kaupa þúsundir geisladiska sem framleiddir eru í Bandaríkjunum.,Bandarísk poppsöngkona heldur uppselt tónleikahald í París.,Franskt leikverk ferðast um bandarískar borgir.,C,high_school_macroeconomics/dev/0
"Til eru þrjár leiðir til að mæla miðlæga tilhneigingu: Meðaltal, miðgildi og hamur. Hvað er hamur út frá þekkingu þinni á þeim?",minna næm fyrir öfgakenndum einkunnum en meðaltalið,gagnlegra fyrir skekktar dreifingar,næm fyrir jaðargildum og mjög skekktum dreifingum,tíðasta talan sem kemur fyrir,D,professional_psychology/dev/1
Við mat á handvirkni er athugað hvort af eftirfarandi á við?,Frádráttur þumalfingurs er frá mænurót T 2,Mótstaða þumalfingurs með mótstöðustefnu er frá mænurót T 1,Fingrafokið er frá miðtaugakerfinu,Fjarlæging fingra fer fram með millistykkið á lófanum,B,clinical_knowledge/dev/2
"Látum V vera mengi allra raunfjölliða p (x). Látum ummyndanir T, S vera skilgreindar á V með T: p (x) -> xp (x) og S: p (x) -> p (x) = d/dx p (x) og túlkum (ST)(p (x)) sem S (T(p (x))). Hvort af eftirfarandi er rétt?",ST = 0,ST = T,ST = TS,ST - TS er auðkenniskort V á sjálft sig.,D,college_mathematics/dev/0
Hvert af eftirfarandi segir best frá röksemdafærslu James Madison í The Federalist númer 10?,Heiðarlegir stjórnmálamenn geta komið í veg fyrir að andstæður myndist.,Átök eru líklegri í stórum lýðveldum en smáum.,Með lýðveldisstjórn er hægt að draga úr neikvæðum áhrifum fylkingahyggju.,Frjálsar kosningar eru besta vörn þjóðarinnar gegn flokkahyggju.,C,high_school_government_and_politics/dev/4
________ skólinn í réttarsögunni leggur til að lögin byggi á því sem er „rétt“.,Náttúruréttur,Greinargerð,Sögulegt,Félagsfræði,A,jurisprudence/dev/3
Þú ert að ýta vörubíl eftir vegi. Væri auðveldara að flýta þessum vörubíl á Mars? Af hverju? ( Gerum ráð fyrir að það sé enginn núningur),Það væri erfiðara þar sem flutningabíllinn er þyngri á Mars.,Það væri auðveldara þar sem flutningabíllinn er léttari á Mars.,Það væri erfiðara þar sem flutningabíllinn er léttari á Mars.,Það væri eins sama hvar þú ert.,D,astronomy/dev/0
"Punktpóstur hefur styrkinn 4p * 10^-4 vefur. Krafturinn í nýtónum á punktpósti með styrkinn 4p * 1,5 * 10^-4 vefur sem er settur í 10 cm fjarlægð frá honum verður",15 N.,20 N.,7.5 N.,"3,75 N.",A,electrical_engineering/dev/4
Hvað af eftirfarandi er endilega einkennandi fyrir fákeppni?,Frjáls innkoma og útganga af markaði,Nokkrir stórir framleiðendur,Einn framleiðandi vöru án nákominna staðkvæmdarvara,Einsleit vara,B,high_school_microeconomics/dev/4
Hvenær getur „samþykki“ verið skilyrði þess að ríki geti ekki sýnt fram á að háttsemi þess sé ólögmæt?,Samþykki getur verið til þess fallið að útiloka að eitthvað sé rangt í hvert sinn sem það er veitt.,Samþykki getur aldrei verið skilyrði fyrir því að hægt sé að útiloka að eitthvað sé rangt,"Samþykki getur verið skilyrði þess að ekki sé um að ræða brot, enda sé samþykkið gilt og að því marki sem háttsemin er innan marka þess samþykkis sem veitt er.","Samþykki getur alltaf verið skilyrði þess að ekki sé um að ræða brot, sama hvaða stofnun ríkisins veitir það.",C,international_law/dev/3
Veldu bestu þýðinguna á rökræðuna: Ekkert fólk keyrir á Mars.,~Pd,(x)(Px~Dx),(x)(Px~Dx),~Dp,C,formal_logic/dev/0
Einn af meðferðarþegum þínum spyr þig um góðar megrunarleiðir. Þú hefur kynnt þér þær leiðir sem eru í boði í samfélaginu og ert skráður í þær sem þú telur bestar. Þessi leið býður upp á 50 kr. bónus til viðskiptavina fyrir hvern nýjan einstakling sem þeir koma með í meðferðina. Við þessar aðstæður væri heppilegasta svar þitt að,Segðu viðskiptavininum frá kostum og göllum hvers náms sem þú þekkir nema þess sem þú ert skráður í,mæla með við viðskiptavininn það nám sem þú ert skráður í og útskýra 50 kr. bónusinn sem þú færð,mæla með við viðskiptavin þinn það nám sem þú ert skráður í og bjóða þér að fá 50 kr. bónusinn inn á reikning viðskiptavinar þíns í náminu,"Segðu viðskiptavininum frá kostum og göllum hvers forrits sem þú veist um, en ekki krefjast 50 kr. bónussins ef viðskiptavinurinn skráir sig í forritið",D,professional_psychology/dev/0
Hvaða af eftirfarandi skilyrðum tryggir að hornvægi sé varðveitt? I. Varðveisla línulegs vægis II. Núll nettó ytri kraftur III. Núll nettó ytri snúningskraftur,Eingöngu I og II,Eingöngu I og III,Einungis II og III,Einungis III,D,high_school_physics/dev/0
Sálrænt sjálfsálit er:,siðfræðikenningu um hvernig við eigum að haga okkur.,alhæfingu um það hvernig fólk hefur tilhneigingu til að hegða sér.,fullyrðingu um mannlegt eðli og hvernig fólk er fært um að haga sér.,ekkert af ofangreindu.,C,philosophy/dev/0
Hvað eru venjulegir bílar með marga ása?,einn,tveir,fjórir,átta,B,miscellaneous/dev/0
Hvert af eftirfarandi er ekki vandamál tengt opinberum hagtölum um verkfallsaðgerðir?,flest verkföll fara fram hjá vinnuveitendum og fjölmiðlum,ekki verður tilkynnt um öll stéttarfélög sem eiga í deilum við vinnuveitanda,skilgreining á verkföllum útilokar þau sem ná til færri en tíu starfsmanna eða vara skemur en einn dag,erfitt að bera saman verkföll sem voru mæld á mismunandi hátt,A,sociology/dev/4
