question,id,choices,answerKey
"Kalíum (K) frumeind hefur 20 nifteind, 19 róteindir og 19 rafeind. Hver er þyngd frumeindarinnar fyrir kalíum?",Mercury_402211,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['19', '20', '38', '39'], dtype=object)}",D
Hvaða einkennandi eiginleiki gefur til kynna að storkuberg kólni hægt?,Mercury_182018,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['steinefnasamsetning', 'harka', 'eðlisþyngd', 'kristalstærð'],
      dtype=object)}",D
"Tveir hlutar úr sama málmi eru settir á borð. Málmhlutirnir hafa sömu eðlisþyngd, massa og áferð. Hvaða eiginleiki hlýtur að vera eini munurinn á milli tveggja sýnishorna?",Mercury_7128380,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Þeir hafa mismunandi vídd.', 'Þeir hafa mismunandi suðumark.',
       'Þeir eru gerðir úr mismunandi gerð efnis.',
       'Þeir innihalda mismunandi magn efnis á rúmmálseiningu.'],
      dtype=object)}",A
Frumuhimnur eru sagðar vera sértækt gegndræpar. Fjórir nemendur voru beðnir um að útskýra hvað þetta þýðir og gáfu svörin hér að neðan.Nemandi 1: Frumuhimnur koma í veg fyrir að öll efni komist inn í frumuna.Nemandi 2: Frumuhimnur veita aðeins uppbyggilegan stuðning fyrir frumuna.Nemandi 3: Frumuhimnur stjórna hvaða efni geta komist inn og út úr frumunni.Nemandi 4: Frumuhimnur leyfa vatni og vatnsleysanlegum efnum að komast inn í frumuna.Hvaða nemandi greindi rétt frá hlutverki sértækt gegndræpu himnunnar?,Mercury_7219905,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Nemandi 1', 'Nemandi 2', 'Nemandi 3', 'Nemandi 4'], dtype=object)}",C
Nemandi notar eftirfarandi einkenni til að lýsa hópi hluta í geimnum. * 200 milljarðar stjarna * 30 milljón ljósár frá Jörðu * 500 ljósár í þvermál Hvaða eftirfarandi er nemandinn líklegast að lýsa?,MCAS_8_2014_14,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['vetrarbraut', 'alheimurinn', 'stjörnumerki', 'sólkerfið'],
      dtype=object)}",A
Vísindamenn hafa mælt vaxtarhraða Atlantshafssvæðisins um 2 til 3 cm á ári. Þessi tegund virkni fellur saman við myndun hryggja á hafsbotni. Hver er líklegasta orsök þessarar virkni?,Mercury_7109253,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['rof vegna sjávarfalla', 'setmyndun', 'flæði meginlandsbasalts',
       'hreyfing flekaspilda'], dtype=object)}",D
Notaðu upplýsingarnar hér að neðan til að svara spurningunni. Hver lífvera á jörðinni er hluti af flóknu sambandi við aðrar lífverur. Þetta samband kallast fæðunet. Eftirfarandi lífverur eru hluti af fæðuneti sem er yfirleitt staðsett í og við vatnsból. þörungar fiskar kanínur örn furutré gras hagamús Hvaða meðlimur fæðunetsins er kjötæta?,MCAS_1999_8_24,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hagamús', 'örn', 'kanína', 'þörungar'], dtype=object)}",B
"Þegar ungbarn hristir hristur, það gefur frá sér hljóð. Hvaða form orku breyttist í hljóðorku?",NYSEDREGENTS_2005_4_28,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['rafmagns', 'ljós', 'vélrænt', 'hita'], dtype=object)}",C
Hvaða aðgerð líkir best eftir hreyfingu handleggs við olnbogalið?,Mercury_7247975,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['opna skúffu', 'skera epli', 'loka bílhurð', 'ýta hjólbörum'],
      dtype=object)}",C
Hvað af eftirfarandi hefur mesta getu til að geyma varmaorku frá sólinni?,Mercury_7033583,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['loft', 'land', 'höf', 'plöntur'], dtype=object)}",C
