sentence,correct
"Prófessor John Walton, höfundur bókarinnar Fish and Chips and the British Working Class, gerir því skóna í nokkurra ára gömlu viðtali við BBC að þessi þjóðarréttur Breta hafi átt stóran þátt í sigri bandamanna í síðari heimsstyrjöldinni, svona ef frjálslega er lagt út frá orðum hans.",true
Það var þó eins og um gullmark væri að ræða því Tékkar gátu ekki svarað–því leikurinn var búinn.,false
Sem mikill Young aðdándi hafi hann auðvitað saknað einstakra laga en ekki sé hægt að gera þá kröfu að hann taki öll lögin sín enda hafi rokkarinn frá Kanada verið lengi í bransanum.,false
"Ég er með mikinn hósta og mig svíður svo í hálsinn, það er eins og það sé eitthvað að brenna í hálsinum.",true
"Þó er ár á þessum svæðum þar sem veiði hefur verið mun meiri en í fyrra, Flókadalsá í Borgarfirði hefur sem dæmi um það bil tvöfaldað veiðina frá í fyrra og í opnuninni í Miðá í Dölum veiddust 50 laxar á þrjár stangir fyrstu fimm dagana.",false
Ofbeldi í aðdraganda kosninganna varpar þó skugga á þær svo og átök á milli íbúa ákveðinna landssvæða.,false
Að gefnu tilefni eru dagsetningar balla hér en þó birtar með fyrirvara um breytingar.,true
"Meirihluti stuðningsfólks Samfylkingarinnar, Pírata, Viðreisnar, Vinstri grænna og Sósíalistaflokks Íslands taldi hælisúthlutanir hins vegar vera ónógar.",true
Haukar áttu ekki í vandræðum með Leikni R. þegar liðin mættust í C-deild Lengjubikars kvenna á Leiknisvelli í kvöld.,true
"En það þýðir ekki að öll tónlist nú til dags er leiðinleg og tilgerðarleg, það er mikið af tónlistarmönnum sem semja frábæra tónlist og njóta mikilli vinsælda um heim allan.",false
"Ég hef þetta í mér, hef áhuga og hef gaman af þessu og það er stór þáttur í þessu, menn þurfa að hafa gaman af því sem þeir gera, vera skapandi og frjóir í hugsun með það sem þeir eru að gera.",true
Hann hafi aldrei sýnt börnunum áhuga en meira máli skipti gegndarlaus fíkniefnaneysla hans og ofbeldi.,true
Gott er að starfsmenn dreifi sér og vakti útgöngudyr til að koma í veg fyrir börnin fari út á röngum stað.,false
"Ég hef þetta í mér, hef áhuga og hef gaman að þessu og það er stór þáttur í þessu, menn þurfa að hafa gaman af því sem þeir gera, vera skapandi og frjóir í hugsun með það sem þeir eru að gera.",false
Öll gólfefni séu ónýt og flestar hurðar í húsinu.,false
Er að hitta þennan læknir í fyrsta skipti.,false
"„Það eru svo mýmörg fyrirtæki sem leggja hart af sér að ná fram svo hröðum vexti í heilsubransanum,“ bætir hann við.",false
Það var þó eins og um gullmark væri að ræða því Tékkar gátu ekki svarað – því leikurinn var búinn.,true
The New York Times fjallar ítarlega um málið og greinir meðal annars frá því að lögmenn Comaroffs segi ásakanirnar ekki eiga við rök að styðjast.,true
Frásögn hennar af atburðarásinni í kringum meint brot Strauss-Kahn hefur líka verið á reiki.,true
