id,title,context,question,answers
nqii_12435,Þorvaldur Thoroddsen,"Þorvaldur Thoroddsen ( 6. júní 1855 – 28. september 1921 ) var íslenskur jarðfræðingur og landfræðingur , einhver þekktasti vísindamaður Íslendinga á sinni tíð . Hann er hvað þekktastur fyrir "" Lýsingu Íslands "" .",Hvað er Þorvaldur Thoroddsen þekktur fyrir ?,"{'text': array([' Hann er hvað þekktastur fyrir "" Lýsingu Íslands ""'], dtype=object), 'answer_start': array([161])}"
nqii_8632,Hákarl,"Hákarl hefur hvassar tennur í skoltum sínum í víðum kjafti . Augu og tálknop hákarls eru smá . Hákarlinn getur náð allt að 7 metra lengd en þó er algeng lengd hans um 2 - 5 metrar . Hákarlar lifa á blönduðu fæði . Lítið er vitað um kynæxlun hákarla en þó er vitað til þess að þeir gjóti ungviði sínu sem er u.þ.b. 40 cm. við got og afkvæmin geta verið allt að 10 talsins . Talið er að hann geti náð allt að 150 ára aldri og verði mjög seint kynþroska . Hákarlinn vex mjög hægt og hafa einhverjar rannsóknir leitt í ljós að fullorðin dýr vaxi ekki nema um 1 cm. á ári . Vitað er um tilfelli þess að hákarl sem merktur hafði verið og náð aftur eftir 16 ár , hafði vaxið frá 262 cm. til 270 cm. á þessum 16 árum . Allt sitt líf dvelur skepnan í köldum heimskautasjó ( 2 - 7°C ) á miklu dýpi , hann er eina tegund hákarla í heiminum sem vitað er um að það geri . Á sumrin heldur hákarlinn sig á 180 - 730 metra dýpi en færir sig nær yfirborðinu á veturna í þeirri von að ná sér í seli . Hákarlinn finnst allt frá Svalbarða , Bjarnareyju og Hvítahafi í norðri , og suður með ströndum Noregs inn í Norðursjó . Hann er einnig að finna við norðanverðar Bretlandseyjar , Færeyjar og Ísland .",Hvað borðar hákarl ?,"{'text': array([' Hákarlar lifa á blönduðu fæði'], dtype=object), 'answer_start': array([181])}"
nqii_5440,Stapi,Stapi eða móbergsstapi er sérstök gerð eldfjalla sem myndast í eldgosi undir jökli eða íshellu . Gosefnin hlaðast upp í því rými sem bráðnar undan hita gossins . Fyrst um sinn hleðst upp gjóska og bólstraberg en þegar gosið hefur hlaðið sig upp fyrir mörk jökulsins og gosrásin einangrast frá vatninu hefst hraungos . Þegar jökullinn hverfur stendur eftir reisulegt kringlótt fjall með bröttum hamrabrúnum og lítilli dyngju á annars flötum toppi .,Hvað er móbergsstapi ?,"{'text': array([' gerð eldfjalla sem myndast í eldgosi undir jökli',
       ' sérstök gerð eldfjalla sem myndast í eldgosi undir jökli eða íshellu',
       'Stapi eða móbergsstapi er sérstök gerð eldfjalla sem myndast í eldgosi undir jökli eða íshellu'],
      dtype=object), 'answer_start': array([33, 25,  0])}"
nqii_5884,Skipting ríkisvaldsins,"Í forsetaþingræði er forsetinn og löggjafarþingið kosið á aðgreindan hátt rétt eins og í forsetaræðisríkjum en forsetinn hefur vald til að leysa upp þing . Í forsetaþingræði má forsetinn ráða ríkisstjórn eins og í forsetaræðisríkjum en verður að fá samþykki þingsins , eins og í þingræðisríkjum . Það skiptir því miklu máli hvaða flokkur / ar ráða forsetaembættinu og löggjafarþinginu hverju sinni . Forsetaþingræði er þannig blönduð stjórnskipun sem hefur í för með sér að forysta framkvæmdarvaldsins er tvískipt , forsetinn fer með hluta framkvæmdarvaldsins en forsætisráðherrann og ríkisstjórn líka ( forsetinn skipar forsætisráðherrann ) . Mismunandi útfærslur af þessari tvískiptingu má finna meðal ríkja sem notast við þessa stjórnskipan .",Hverjir fara með framkvæmdavald á Íslandi ?,"{'text': array(['forsetinn fer með hluta framkvæmdarvaldsins en forsætisráðherrann og ríkisstjórn líka'],
      dtype=object), 'answer_start': array([516])}"
nqii_8969,MDMA,"MDMA ( 3,4 - metýlendíoxýmetamfetamín ) , best þekkt undir nöfnunum alsæla , Molly eða e-pilla , er tilbúið fenetýlamín sem orkar á heilann á þann hátt að ýta snögglega undir framleiðslu á serótóníni , norepinefrín og dópamín , og einnig sem endurupptökuhemill , Það veldur skynjunaráhrifum hjá neytandanum , til dæmis einlægni , sæluvímu og góðri tilfinningu . Sumir neytendur finna fyrir meiri snertiáhrifum sem að gerir snertingu almennt ánægjulegri . Þrátt fyrir almennar sögusagnir um annað , hefur lyfið ekki almenn kynorkuaukandi áhrif . Sökum hæfni lyfsins til að hjálpa við að draga úr hræðslu við sjálfskoðun hefur það reynst nytsamlegt í ýmisskonar meðferðartilgangi , þá sérstaklega áfallaröskun , en er ekki viðurkennt sem lyf .",Hver eru áhrif MDMA ?,"{'text': array([' Það veldur skynjunaráhrifum hjá neytandanum , til dæmis einlægni , sæluvímu og góðri tilfinningu'],
      dtype=object), 'answer_start': array([262])}"
nqii_17645,Nifteindastjörnur,"Nifteindastjörnur eru undraverðar stjörnur sem eru að stærstum hluta úr nifteindum . Þær verða til þegar gríðarstórar stjörnur springa og falla saman í miðju . Úr þessari miðju verða nifteindastjörnurnar til . Talið er að finna megi 100.000 nifteindastjörnur í Vetrarbrautinni okkar en nú til dags eru um 2.000 þekktar nifteindastjörnur í Vetrarbrautinni og Magellanskýjunum og um 1.000 þekktar tifstjörnur sem eru nifteindastjörnur með útgeislunarstraum sem lendir á jörðinni . Þessar stjörnur hafa bæði gríðarsterkt segulsvið , snúast mjög hratt og eru einstaklega heitar . Þær eru gríðarlega eðlisþungar að auki vegna þess hve þétt efnið í þeim er en engir fráhrindikraftar verka milli nifteinda .",Hvað er tifstjarna ?,"{'text': array([' nifteindastjörnur',
       ' nifteindastjörnur með útgeislunarstraum sem lendir á jörðinni'],
      dtype=object), 'answer_start': array([414, 414])}"
nqii_11247,Svartbók kommúnismans,"Svartbók kommúnismans er bók , sem fjallar um glæpi kommúnistastjórna á 20. öld . Höfundar eru nokkrir franskir fræðimenn . Stéphane Courtois var ritstjóri og skrifar formála hennar , eftirmála og tvo kafla . Nicolas Werth skrifar lengstu greinina , sem er um ógnarstjórn Leníns og Stalíns í Rússlandi og síðar Ráðstjórnarríkjunum 1917 – 1953 . Jean-Louis Margolin skrifar tvær langar ritgerðir , um Kína í valdatíð Maós 1949 – 1976 og Kambódíu undir stjórn rauðu kmeranna 1975 – 1979 . Bókin kom fyrst út í Frakklandi haustið 1997 undir heitinu "" Le livre noir du communisme : Crimes , terreur , répression "" . Dr. Hannes Hólmsteinn Gissurarson prófessor þýddi bókina á íslensku og var ritstjóri hennar .",Hvert er helsta framlag Hannesar Hólmsteins til fræðanna ?,"{'text': array([' Dr. Hannes Hólmsteinn Gissurarson prófessor þýddi bókina á íslensku og var ritstjóri hennar .'],
      dtype=object), 'answer_start': array([611])}"
nqii_16355,Konungur Svíþjóðar,"Konungur Svíþjóðar er þjóðhöfðingi Svíþjóðar , þar sem er þingbundin konungsstjórn . Sænska konungsveldið er eitt af þeim elstu í heimi en listar yfir konunga Svíþjóðar hefjast venjulega á Eiríki sigursæla ( d. 995 ) .",Hver er þjóðhöfðingi Svíþjóðar ?,"{'text': array(['Konungur Svíþjóðar er þjóðhöfðingi Svíþjóðar'], dtype=object), 'answer_start': array([0])}"
nqii_14353,Gleðiganga,Á Íslandi hefur hún verið gengin í Reykjavík annan laugardag í ágústmánuði frá árinu 2000 sem hluti af Hinsegin dögum sem haldnir eru á sama tíma .,Hvenær er gleðigangan ?,"{'text': array(['Á Íslandi hefur hún verið gengin í Reykjavík annan laugardag í ágústmánuði',
       ' annan laugardag í ágústmánuði'], dtype=object), 'answer_start': array([ 0, 44])}"
nqii_1098,Júlíus Caesar,"Árið 46 f.Kr. hafði Cæsar náð öllu Rómveldi á sitt vald og lét hann öldungaráði gefa sér alræðisvald til 10 ára . Tveimur árum síðar tók hann sér alræðisvald til æviloka sem urðu í mars sama ár . Cæsar var snjall stjórnmálamaður og kom á ýmsum umbótum í stjórnkerfinu . Hann fjölgaði í öldungaráðinu upp í 900 og tilnefndi nýja öldunga sem voru honum hliðhollir úr ýmsum þjófélagshópum og úr ýmsum skattlöndum . Hann lækkaði skatta í skattlöndum , skipti löndum milli hermanna sinna og fátækra . Hann reyndi að stemma stigu við þrælahaldi með lögum . Hann sendi tugi þúsunda fátækra borgara í Róm , sem landnema til nýlendna sinna . Hinum fátæklingunum veitti hann vinnu við byggingaframkvæmdir . Hann tók upp tímatal með egypsku sniði sem var nefnt , júlíanska tímatalið og er dagatalið þar með fellt að gangi sólarinnar í stað tunglsins . 365 dagar eru í árinu og hlaupársdagur fjórða hvert ár . Hann tryggði gengi gjaldmiðils með því að slá mynt úr gulli og setti reglur um vexti og gjaldþrot . Hann kom á skipulagi og stjórn í Rómaveldi .",Hvenær var Júlíus Sesar keisari ?,"{'text': array([' 46 f.Kr.'], dtype=object), 'answer_start': array([4])}"
