idx,sentence,errors,has_error,corrected_sentence
54106,"['Kannski' 'er' 'þessi' 'fullyrðing' 'þröngsýn' 'en' 'ef' 'prestur' 'er'
 'spurður' 'afhverju' 'samkynhneigt' 'fólk' 'má' 'ekki' 'giftast' 'þá'
 'svarar' 'hann' '„' 'vegna' 'þess' 'að' 'hjónband' 'getur' 'ekki' 'átt'
 'sér' 'stað' 'nema' 'á' 'milli' 'karls' 'og' 'konu' '“' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object)
 array(['orthography', 'orthography'], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object)]",True,"['Kannski' 'er' 'þessi' 'fullyrðing' 'þröngsýn' 'en' 'ef' 'prestur' 'er'
 'spurður' 'af hverju' 'samkynhneigt' 'fólk' 'má' 'ekki' 'giftast' 'þá'
 'svarar' 'hann' '„' 'vegna' 'þess' 'að' 'hjónband' 'getur' 'ekki' 'átt'
 'sér' 'stað' 'nema' 'á' 'milli' 'karls' 'og' 'konu' '“' '.']"
12695,"['Átján' 'prósent' 'fyrirtækja' 'hyggjast' 'fjölga' 'starfsfólki' 'næstu'
 'þrjá' 'til' 'fjóra' 'mánuðina' 'en' 'tíu' 'prósent' 'hyggjast' 'fækka'
 'því' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)]",False,"['Átján' 'prósent' 'fyrirtækja' 'hyggjast' 'fjölga' 'starfsfólki' 'næstu'
 'þrjá' 'til' 'fjóra' 'mánuðina' 'en' 'tíu' 'prósent' 'hyggjast' 'fækka'
 'því' '.']"
36240,"['Klerkaveldi' 'er' 'stjórnarform' 'þar' 'sem' 'æðsti' 'valdhafi' 'er'
 'sagður' 'fara' 'með' 'vald' 'Guðs' ',' 'öll' 'löggjöf' 'byggir' 'á'
 'trúarbrögðum' 'og' 'á' 'að' 'tjá' 'vilja' 'Guðs' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array(['orthography', 'orthography'], dtype=object)
 array(['orthography', 'orthography'], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)]",True,"['Klerkaveldi' 'er' 'stjórnarform' 'þar' 'sem' 'æðsti' 'valdhafi' 'er'
 'sagður' 'fara' 'með' 'vald' 'guðs og' 'öll' 'löggjöf' 'byggir' 'á'
 'trúarbrögðum' 'og' 'á' 'að' 'tjá' 'vilja' 'Guðs' '.']"
36648,"['Það' 'á' 'upptök' 'sín' 'í' 'Sambíu' 'en' 'rennur' 'fyrst' 'í' 'vestur'
 'til' 'Angóla' 'og' 'svo' 'aftur' 'til' 'Sambíu' 'áður' 'en' 'það' 'nær'
 'Mósambík' 'þar' 'sem' 'það' 'fellur' 'í' 'Indlandshaf' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array(['grammar'], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object)]",True,"['Það' 'á' 'upptök' 'sín' 'í' 'Sambíu' 'en' 'rennur' 'fyrst' 'í' 'vestur'
 'til' 'Angóla' 'og' 'svo' 'aftur' 'til' 'Sambíu' 'áður' 'en' 'það' 'nær'
 'til' 'Mósambík' 'þar' 'sem' 'það' 'fellur' 'í' 'Indlandshaf' '.']"
53263,"['Sumir' 'geta' 'bara' 'alls' 'ekki' 'átt' 'peninga' 'heldur' 'verða'
 'bara' 'að' 'eyða' 'þeim' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object)]",False,"['Sumir' 'geta' 'bara' 'alls' 'ekki' 'átt' 'peninga' 'heldur' 'verða'
 'bara' 'að' 'eyða' 'þeim' '.']"
55379,"['Þau' 'þurftu' 'bæði' 'að' 'hafa' 'mikið' 'fyrir' 'því' 'að' 'geta'
 'haldið' 'uppi' 'svo' 'stóru' 'heimili' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object)]",False,"['Þau' 'þurftu' 'bæði' 'að' 'hafa' 'mikið' 'fyrir' 'því' 'að' 'geta'
 'haldið' 'uppi' 'svo' 'stóru' 'heimili' '.']"
30017,"['Tölvuleikjatónlist' 'er' 'yfirleitt' 'notað' 'sem' 'hugtak' 'yfir'
 'bakgrunnstónlistina' 'sem' 'heyrist' 'í' 'tölvuleikjum' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array(['grammar'], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object)]",True,"['Tölvuleikjatónlist' 'er' 'yfirleitt' 'notað' 'sem' 'hugtak' 'yfir'
 'bakgrunnstónlist' 'sem' 'heyrist' 'í' 'tölvuleikjum' '.']"
2302,"['Hann' 'telur' 'að' 'um' 'fimmtán' 'manns' 'hafi' 'látið' 'af' 'störfum'
 'hér' 'á' 'Íslandi' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object)]",False,"['Hann' 'telur' 'að' 'um' 'fimmtán' 'manns' 'hafi' 'látið' 'af' 'störfum'
 'hér' 'á' 'Íslandi' '.']"
40825,"['Hljómsveitir' 'hafa' 'oft' 'plötusnúða' 'innan' 'raða' 'sinna' 'til'
 'að' 'undirstrika' 'þessi' 'áhrif' '.']","[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object)]",False,"['Hljómsveitir' 'hafa' 'oft' 'plötusnúða' 'innan' 'raða' 'sinna' 'til'
 'að' 'undirstrika' 'þessi' 'áhrif' '.']"
13899,['Af' 'þessu' 'hlaust' 'talsvert' 'uppnám' 'í' 'þingsal' '.'],"[array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object) array([], dtype=object)
 array([], dtype=object) array([], dtype=object)]",False,['Af' 'þessu' 'hlaust' 'talsvert' 'uppnám' 'í' 'þingsal' '.']
