id,answer,instruction,option_a,option_b,option_c,option_d,option_e
ARC-Challenge/train/Mercury_7016625,A,Í berghringrásinni hefst veðrun og rof sem leiðir til myndunar,setlögum.,magma.,jarðefni.,kristalla.,
ARC-Challenge/train/Mercury_7041248,D,Tveimur efnum er blandað saman í bikarglasi sem er í ísvatnsbaði. Ísinn í vatninu bráðnar þegar íðefnin hvarfast í eina mínútu. Hvers konar hvarf á sér stað?,"innvarma, þar sem orka er tekin upp","innvarma, þar sem orka er losuð","útvarma, þar sem orka er tekin upp","útvarma, þar sem orka er leyst út",
ARC-Challenge/train/Mercury_SC_416456,A,Einfruma lífvera getur gert allt sem fruma úr fjölfrumu lífveru getur gert nema,sérhæfa sig.,fjölga sér.,nota orku.,búa til prótein.,
ARC-Challenge/train/ACTAAP_2008_5_7,A,Hvað brjóta frumur niður til að framleiða orku?,matvæli,vatn,chlorophyll,koltvísýringur,
ARC-Challenge/train/MCAS_2008_5_5633,B,Nemendur vilja planta sítrónutré í skólann sinn en kuldatíð í Massachusetts myndi drepa tréð. Hver af eftirfarandi er besta lausnin á þessu vandamáli?,að planta nokkrum sítrónutrjám saman í röð,bygging gróðurhúss til að hýsa sítrónutréð,að gefa sítrónutrénu auka áburð á veturna,að binda staur við sítrónutréð til stuðnings yfir veturinn,
ARC-Challenge/train/MCAS_2005_8_4,B,Hvert af eftirfarandi er dæmi um líkamlega breytingu?,kveikja eldspýtu,brjóta glas,brennsla bensíns,ryðfylling járns,
ARC-Challenge/train/ACTAAP_2008_7_3,C,Hvaða spurningu er líklegast að hægt sé að svara með vísindalegri rannsókn?,Hver verður sigurvegari næsta happdrættis?,Hvaða knattspyrnulið vinnur næsta leik?,Hvert er ljósmagnið sem þarf til að rækta tómata?,Hvaða fjórar fuglafjaðrir eru fallegastar á litinn?,
ARC-Challenge/train/MEA_2011_8_3,D,Á hvaða stað á jörðinni er sólbirtan minnst þann 22. desember?,Miðja,Flórída,Maine,Norðurpóllinn,
ARC-Challenge/train/MEA_2016_8_1,C,Refur fæddi afkvæmi sem höfðu betri heyrn en flestir refir. Hvernig gæti þessi litla breyting líklegast leitt til afkomenda sem eru frábrugðnir upprunalega refnum?,Ræsir sem hafa betra heyrnarskyn geta stökkbreyst oftar en aðrir refir.,Það má veiða oftar refi sem hafa betra heyrnarskyn.,Með tímanum gætu afkomendur þessa refs heyrt betur og veitt bráð en aðrir refir.,Með tímanum geta afkomendur þessa refs orðið útdauðir.,
ARC-Challenge/train/NYSEDREGENTS_2006_8_26,C,"Þó að breytingar á fjölfrumutegundum taki yfirleitt mörg þúsund ár, þá taka sumar bakteríutegundir miklum breytingum á örfáum árum. Ein ástæðan fyrir þessum mun er sú að þessar bakteríur",eru smásæjar,innihalda ekki DNA,fjölga sér mjög fljótt,valda smitsjúkdómum,
