text;corruption_type;label
Núna þurfum við að fá meira að láni í nafni sanngirni.;;correct
Hvers vegna erum við ekki með lögin þannig að hver sem opinberlega hæðist að, rógber, smánar og ógnar manni og svo framvegis án tillits Forseti hringir. til nokkurs skapaðar hlutar sæti refsingu?;;correct
Alþingi gert getur hitt og þetta.;flip_neighbours;incorrect
Hitt er miklu stærra mál sem við erum ekki búin að afgreiða og við eigum ekki að afgreiða með þessu, það er hvar línurnar eiga að liggja, af því að við setjum ekki bara venjulegan verðmiða á það.;;correct
Að öðru leyti við ég þakka svör utanríkisráðherra í dag og hrósa honum aftur og hvetja hann áfram til að standa vörð um NATO.;;correct
Niðurstaðan varð sú að hvetja ráðherra til að halda áfram og hefur hún móttekið þau skilaboð.;;correct
Hann er látinn fylgja landslaginu eins mikið og mögulegt er til þess að sé hann sem minnst áberandi.;flip_neighbours;incorrect
Virðulegi forseti. Hvað það varðar að markmiðið sé ljóst og tvíþætt ég hélt nú að ég væri að gera stuðningsmönnum frumvarpsins greiða með því að kalla það óljóst.;;correct
Maður býr við verðbólgu, maður einhvern veginn venst því.;;correct
og samgöngu nefnd lagði gríðarlega vinnu í málið.;delete;incorrect
Guðni Valur Guðnason kringlukastari úr ÍR náði sínum besta árangri á árinu þegar hann kastaði 60,72 m Vormóti á UFA á Þórsvelli á Akureyri í dag.;flip_neighbours;incorrect
Virðulegi forseti. Það er svo sem ekki mikið eftir að ræða í sjálfu hvað viðkemur þessu tiltekna máli.;delete;incorrect
Varðandi það sem hv. þingmaður spurði um og ég nefndi sem dæmi um nokkra hluti sem eru mikið á skjön við annað og andann í þessu frumvarpi sem er ekki upplífgandi að stærstum hluta til nema í einstökum tilvikum.;;correct
Það var að sjálfsögðu erfitt fyrir margra hluta sakir og auðvitað greindi menn á um það hvernig ætti að skipta takmarkaðri auðlind.;;correct
Leikur Íslands og Danmerkur hefst klukkan 19:15 og verður sýndur á RÚV 2.;;correct
Það þarf ekki alltaf greiningartæki til þess að sjá hvað er helsta vinnuafl ríkisins, til að mynda á landsbyggðinni eða innan eða menntakerfisins.;delete;incorrect
Bryndísi Rún Hansen tókst ekki að sér tryggja sæti í undanúrslitum 100 m skriðsunds kvenna.;flip_neighbours;incorrect
Svo er hitt, að það er kannski ekki þingmannsstarf að meta hversu mikið mál það væri.;;correct
Hefði áætlunin, ef hún hefði verið samþykkt, komið í veg fyrir þær tillögur sem voru í fjárlagafrumvarpinu og ákveðin voru atlaga að konum?;flip_neighbours;incorrect
Það er mun ódýrara að borga þá bara fyrir viðtalið á greiningunni.;;correct
Störfunum fjölgar jú og fleiri hendur vinna þau en arðbærnin og hagkvæmnin er ekki sama sú.;flip_neighbours;incorrect
Lengra svarið er að þegar kemur að fjarskiptasjóði og nettengingu úti á landi þá finnst mér það óhjákvæmilega svolítið eins og að skilja fólk eftir símalaust eða ég ætla ekki að segja vatnslaust kannski en símalaust og jafnvel rafmagnslaust þegar það er netlaust eða með það lélega tengingu að geti ekki gert það sem það þarf að gera.;delete;incorrect
Mig langar til þess að minna hv. þm. Pál Jóhann Pálsson á þegar hann segir að hér sé aðeins deilt um útfærslu og hversu mikið útgerðin þoli að það er í raun og veru enginn sérstakur ágreiningur um það í þjóðfélaginu.;;correct
hún í undanúrslit keppir hún í þeim á fimmtudag klukkan 16: 50.;delete;incorrect
Gripið fram í: Svo er praxísinn Já, svo er það alls konar praxísinn og jafnvægið þar á milli, það fer eftir því hvað verið er að tala um o. s. frv. En mér finnst þetta einhvern veginn vera það versta úr báðum hugmyndum.;delete;incorrect
Ef þessi lög eiga að standast lög um tjáningarfrelsi vil ég því upp, virðulegi forseti, að það sé eitthvað mikið að því hvernig við lítum á tjáningarfrelsið.;delete;incorrect
Núna skilst mér að það séu fleiri en 300 nemendur í skólanum en menn töluðu ávallt um í kringum 250.;;correct
Þetta er besti tími sem Bryndís hefur nokkurn tímann synt á í greininni.;;correct
Norska kvennalandsliðið í handbolta vann tíu marka sigur á Hvít-Rússum í Minsk í gær 32 22 og tryggði sér þannig sæti á EM sem haldið verður í Svíþjóð í desember.;;correct
Þess vegna spyr ég, eðlilega: Hvað hafa menn verið að gera þessi tvö ár ef ekki er meira kjöt á beinunum en raun ber vitni?;;correct
Alþingi getur gert hitt og þetta.;;correct
Héldu menn virkilega að það yrði með öðrum hætti?;;correct
Það efast enginn um mikilvægi þess að leggja fram kerfisáætlun en það er ekki sama hvernig það er gert og við þurfum að vanda okkur betur.;;correct
Ég tek hins vegar undir með hv. þingmanni, við megum ekki tala um að þetta verkefni fari illa.;;correct
Það er bara hluti af hinum föstu tekjusamskiptum ríkis og sveitarfélaga og hefur verið svo mjög lengi.;;correct
En hvað er hér á dagskrá?;;correct
Það er skýr munur á umhverfi nútímans, árið 2013, frá því sem var 1990, munurinn er svo yfirþyrmandi og skýr að það blasir við að endurskoða þarf náttúruverndarlög með hliðsjón af því.;;correct
Gleymum því ekki að við komum úr sárustu fátækt Evrópu fyrir rúmum 100 árum.;;correct
