link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
https://en.wikinews.org/wiki/New_South_Wales_government_starts_trial_of_hunting_in_national_parks,2,"Skyttur í meindýraeyðingarprófinu áttu að vera undir nánu eftirliti landvarða, þar sem fylgst var með prófinu og árangur þess var metinn. Samstarf NPWS og Skotveiðisamtaka Ástralíu (NSW) leiddi til ráðningar hæfra sjálfboðaliða í veiðiáætlun skotveiðisamtakanna. Skytturnar fjórar sem valdar voru til að taka þátt í skotleiðangrinum fengu ítarlega leiðsögn um öryggi og þjálfun, að sögn Mick O'Flynn, starfandi framkvæmdastjóra stofnunar þjóðgarðaverndar og menningararfs hjá NPWS.",Hver eftirfarandi fullyrðinga á ekki við um meindýraeyðingarprófið?,Þar sem þetta var fyrsta prófið var árangur þess ekki metinn,Skytturnar fengu leiðsögn,Landverðir höfðu eftirlit með skyttunum,Fjórar skyttur voru valdar,1,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Hungary%27s_St_Stephen%27s_Day_hit_by_storm:_3_left_dead,2,"""Þegar fimm mínútur voru liðnar af viðburðinum byrjaði vindur að blása, um mínútu síðar var hann kominn upp í 70 km/klst. ... síðan kom rigningin, en af þvílíkum krafti og í stórum dropum sem stungu mann eins og nálar, síðan kom haglél, fólk varð skelfingu lostið og hrópaði og traðkaði hvert annað niður. Ég varð viðskila við systur mína og vinkonu hennar. Á leið minni þangað voru tveir fatlaðir einstaklingar í hjólastólum og fólk hoppaði yfir þá og ýtti þeim,"""" sagði Armand Versace.""",Hvenær upphófst mesta hvassviðrið?,Nokkrum mínútum eftir að sýningin hófst,Eftir að það hætti að rigna,Eftir að hann týndi systur sinni,Áður en haglélið hófst,4,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Grand_old_hotels,2,"Sum hótel búa yfir arfleifð frá gullöld gufulesta og millilandaskipa, fyrir síðari heimsstyrjöldina, frá 19. öld eða snemma á 20. öld. Þetta eru hótel þar sem þeir ríku og frægu þess tíma gistu og oft var boðið upp á fágaðan mat og næturlíf. Gamaldags innréttingar, skortur á nýjustu þægindum og ákveðin aldurseinkenni eru hluti af karakter þeirra. Þó það sé yfirleitt í einkaeigu er stundum tekið á móti þjóðhöfðingjum og öðrum háttsettum aðilum. Ferðalangur með nóg á milli handanna gæti viljað skoða flug umhverfis jörðina, með viðkomu á mörgum þessara hótela.",Hvað af eftirfarandi væru hótelgestirnir ólíklegastir til að setja í forgang?,Antíkhúsgögn um allt húsið,Veitingastaður með vel þekktum kokki,Betri stofa með kvöldskemmtun,Viðráðanlegt verð fyrir gistingu,4,isl_Latn,2023-07-21
https://en.wikibooks.org/wiki/Origami/Types/Pureland_Origami,1,Pureland origami er órigamí með þeim annmörkum að það brýst bara einu sinni saman. Flóknari brot eins og öfug brot eru ekki heimil og öll brot eru með beina hluta. Það var þróað af John Smith á áttunda áratug síðustu aldar til að hjálpa reynslulausum möppum eða fólki með takmarkaða hreyfigetu.,Fyrir hverja kemur það sér betur að nota Pureland-aðferðina í órigamígerð?,Þau sem vilja nota mörg brot samtímis,Þau sem hafa mjög góða hreyfifærni,Þau sem gera órigamí sem nota öfug brot,Þau sem hafa sjaldan eða aldrei prófað órigamígerð,4,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Wildlife_photography,2,"Villt náttúra er eitt erfiðasta viðfangsefni ljósmyndara og krefst blöndu heppni, þolinmæði, reynslu og góðs búnaðar. Oft er ljósmyndun af villtri náttúru tekið sem sjálfsögðum hlut, en eins og ljósmyndun almennt jafngildir ein mynd þúsund orðum. Þegar teknar eru myndir af villtri náttúru þarf oft að nota langa aðdráttarlinsu, þó nota þurfi aðrar linsur fyrir hóp fugla eða örlítil dýr. Örðugt getur reynst að finna mörg framandi dýr og í sumum almenningsgörðum eru fyrir hendi reglur varðandi myndatöku í atvinnuskyni. Villt dýr kunna að vera ýmist feimin eða árásargjörn. Unhverfið kann að vera kalt, heitt eða fjandsamlegt með öðrum hætti.",Hvað af eftirfarandi er ekki minnst á að geti reynst krefjandi fyrir náttúruljósmyndara?,Að finna ákveðin framandi dýr,Meðhöndlun árásargjarnra dýra,Að finna rétta linsu í verkið,Að vinna við hugsanlega fjandsamlegar aðstæður,3,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage,1,"""Dýraverndunarsamtökin og konunglegu samtökin um dýravernd (RSPCA) gera enn á ný kröfu um lagasetningu til að öryggismyndavélum verði komið fyrir í öllum sláturhúsum Ástralíu. Aðalskoðandi RSPCA New South Wales, David O'Shannessy, greindi ABC frá því að eftirlit og skoðanir á sláturhúsum skyldu vera algengar innan Ástralíu. „Eftirlitsbúnaðurinn myndi vissulega senda sterk skilaboð til fólks sem vinnur með dýr, um að velferð þeirra sé í forgangi.""""""",Samkvæmt aðalskoðanda hjá samtökum um dýravernd ætti alltaf að rannsaka eftirfarandi?,Öryggismyndavélar,Fólk sem vinnur með dýrum,Fólk sem setur upp öryggiskerfi,Sláturhús,4,isl_Latn,2023-07-21
"https://en.wikinews.org/wiki/Gas_explosion_reported_in_Hammersmith,_London",2,"Fréttir herma að sprenging hafi orðið í íbúð á Macbeth Street vegna gasleka. Fulltrúi gasfyrirtækisins mætti á staðinn eftir að nágranni hringdi og kvartaði yfir gasleka. Íbúðin sprakk eftir að embættismaðurinn var kominn. Ekki var tilkynnt um nein umtalsverð meiðsli en að minnsta kosti fimm manns sem voru á vettvangi þegar sprengingin átti sér stað, voru meðhöndlaðir vegna áfallaeinkenna. Enginn var inni í íbúðinni. Á sama tíma voru nærri 100 íbúar á svæðinu fluttir á brott.",Hver tilkynnti um gaslekann?,Nágranni í sama húsi,Íbúi í viðkomandi íbúð,Fulltrúi gasfyrirtækisins,Húsvörðurinn,1,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Angkor_Archaeological_Park,2,"Phnom Krom, í 12 km fjarlægð suðvestan af Siem Reap. Musterið á hæðinni var smíðað í lok 9. aldar á valdatíma Yasovarman kóngs. Drunga andrúmsloft musterisins og útsýnið yfir Tonle Sap-vatnið gerir gönguna upp á hæðina þess virði. Hægt er að skoða svæðið og fara síðan í bátsferð á vatninu. Fara þarf um Angkor-skarðið til að komast inn í musterið svo ekki gleyma að taka vegabréfið með þegar haldið er til Tonle Sap.","Samkvæmt því sem fram kemur í kaflanum, hvað þurfa gestir að gera til að komast inn í Phnom Krom?",Klifra framhjá Yasovarman-musterinu,Ferðast um Siem Reap,Fá sér Angkor-passann,Fara í bátsferð um Tonle Sap,3,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Jerusalem,2,"Jerúsalem er höfuðborg og stærsta borg Ísraels, þó að flestar aðrar þjóðir og SÞ viðurkenni hana ekki sem höfuðborg Ísraels. Hin forna borg í Júdeuhæðum býr yfir heillandi sögu sem spannar þúsundir ára. Borgin er heilög fyrir þrjú eingyðistrúarbrögð - gyðingdóm, kristni og íslam og þjónar sem andleg, trúarleg og menningarleg miðstöð. Vegna trúarlegs gildis borgarinnar, einkum margra staða í gamla borgarhlutanum, er Jerúsalem einn helsti ferðamannastaðurinn í Ísrael. Jerúsalem er með marga sögulega staði, fornleifastaði og menningarlega staði ásamt líflegum og fjölmennum verslunarmiðstöðvum, kaffihúsum og veitingahúsum.",Hvað af eftirfarandi er ekki minnst á í textanum að Jerúsalem sé þekkt fyrir?,Heillandi sögu,Pólitísk áhrif,Trúarlegt gildi,Menningarlega staði,2,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Nintendo_unveils_controller_for_Revolution_console,1,"Á setningarathöfn Tokyo Game Show síðastliðinn fimmtudag kynnti Satoru Iwata, forstjóri Nintendo, hönnunina á fjarstýringu nýju leikjatölvunnar Nintendo Revolution fyrir áhorfendum. Fjarstýringin er lík fjarstýringu fyrir sjónvarp og notast við tvenna skynjara sem eru nálægt sjónvarpi notandans til að þríhyrningamæla stöðuna í þrívíðu rými. Þetta gerir leikmönnum kleift að stjórna aðgerðum og hreyfingum í tölvuleikjum með því að hreyfa tækið í lausu lofti.",Hvað þarf spilari að gera til að stjórna hreyfingum í tölvuleik?,Passa að skynjarar fjarstýringarinnar séu staðsettir nálægt tölvunni,Þríhyrningsmæla stöðu sína,Koma skynjurum fyrir nálægt sjónvarpinu,Hreyfa fjarstýringuna til í lausu lofti,4,isl_Latn,2023-07-21
