ctx_a,ctx_b,ctx,endings,id,ind,activity_label,source_id,split,split_type,label
Maður situr á þaki.,he,Maður situr á þaki. he,"['fer að draga upp þak á þaki.'
 'er að nota umbúðir til að vefja saman skíðum.'
 'er að rífa sléttar flísar af.' 'heldur á rúbínskúpu.']",hellaswag/validation/0,24,Roof shingle removal,activitynet~10920,val,indomain,0
[haus] Hvernig á að fá kærasta besta vinar síns til að líka við sig [titill] Brosa. [skref] Hann er líklega stressaður yfir því að ná góðum kynnum við besta vin hins mikilvæga. Slakaðu á með því að brosa stórt þegar þú hittir hann.,,[haus] Hvernig á að fá kærasta besta vinar síns til að líka við sig [titill] Brosa. [skref] Hann er líklega stressaður yfir því að ná góðum kynnum við besta vin hins mikilvæga. Slakaðu á með því að brosa stórt þegar þú hittir hann. ,"['Það er ekkert óeðlilegt að feiminn náungi glotti eins og tjakk í lukt þegar hann hittir stelpu. [ Undirskrefur] Hann getur orðið taugaóstyrkur ef fallega stelpan sem hann hittir dregur andann frá sér en broskar aldrei bros.'
 'Einlægt bros er skynjað sem merki um að manni líki við einhvern og vilji vera vinur hans. [undirskrefin] Í einlægu brosi togast munnvikin upp og vöðvarnir í kringum augun dragast saman.'
 'Ef þú reynir að brosa of auðveldlega þá líður honum illa og gleymir að treysta þér. [Undirskrefi] Þetta ætti ekki að gera þig falska eða líta út fyrir að vera loddaralegur, þú átt að passa upp á það fyrir hann með því að passa að svipbrigðin séu raunveruleg.'
 'Spyrðu hann líka alltaf þegar þú nærð athygli hans hvort hann sé tilbúinn að vera með þér í framtíðinni. [undirskrefi] Vertu meðvitaður um að það er líklegra að fólk móðgist þegar þú brosir.']",hellaswag/validation/8069,35705,Relationships,wikihow~10920,val,indomain,1
[höf.] Hvernig á að sannfæra foreldra þína um að fá þér eitthvað [titill] Hugsaðu um hvað þú ert að biðja um. [skref] Þú ættir að vita hvað foreldrar þínir segja yfirleitt já eða nei við. Berðu bón þína saman við það sem foreldrar þínir hafa fengið þig áður.,,[höf.] Hvernig á að sannfæra foreldra þína um að fá þér eitthvað [titill] Hugsaðu um hvað þú ert að biðja um. [skref] Þú ættir að vita hvað foreldrar þínir segja yfirleitt já eða nei við. Berðu bón þína saman við það sem foreldrar þínir hafa fengið þig áður. ,"['[Efnisorð] Hafðu í huga að þú þarft ekki að spyrja foreldra þína hvort þeir kaupi eitthvað sem þú elskar og vilt koma með heim fyrir krakkana. Þú getur samt sem áður viljað spyrja hvort þeir leyfi þér að passa eða hvort þeir leyfi þér að koma í húspartýið.'
 '[Efnisorð] Ef þú ert til dæmis að biðja um ákveðinn bíl þá skaltu taka inn í dæmið kostnaðinn sem þú þarft að standa undir. Foreldrar þínir myndu eflaust hafa áhyggjur og vilja eyða meiri pening í hann þegar þú ert í raun að biðja um nýjan bíl.'
 'Virðist núverandi beiðni þín stærri en þú biður um? Skoðaðu fjárhag þinn og ákveddu hversu langan tíma það tekur þig að borga fyrir hana sjálf/ur. Skoðaðu einnig hvort beiðnin sé eitthvað sem þú vilt eða eitthvað sem þú þarft virkilega á að halda.'
 'Athugaðu hvort þú ert sammála þeim eða hvort þeim finnist þeir vera að sýna eftirtekt. Eru þeir hvattir til að gefa þér eitthvað ákveðið? [undirskrefi] Kannski viltu fá þér hár eða byrja á ljósmyndanámskeiði.']",hellaswag/validation/9568,46745,Youth,wikihow~10920,val,indomain,2
"[haus] Hvernig skrifa á umbótasamning um heimilið [titill] Skilgreinið hvað þið viljið gera. [skref] Það er ekki hægt að skrifa góðan samning nema skilgreina nákvæmlega hvað þið viljið gera. Hvort sem um er að ræða stórt verkefni eins og innri endurbætur sem fela í sér að bæta við herbergjum eða raða upp veggjum, bæta við baðherbergi eða einungis bæta við lýsingu, þá verður að vera búið að ná góðum tökum á öllum þáttum verkefnisins.",,"[haus] Hvernig skrifa á umbótasamning um heimilið [titill] Skilgreinið hvað þið viljið gera. [skref] Það er ekki hægt að skrifa góðan samning nema skilgreina nákvæmlega hvað þið viljið gera. Hvort sem um er að ræða stórt verkefni eins og innri endurbætur sem fela í sér að bæta við herbergjum eða raða upp veggjum, bæta við baðherbergi eða einungis bæta við lýsingu, þá verður að vera búið að ná góðum tökum á öllum þáttum verkefnisins. ","['[Efnisorð] Ef þú þarft að hafa einstaka litaskema með, ekki bara lista og merkja örugglega. Þú þarft heldur ekki að lýsa nákvæmlega öllum smáatriðum verkefnisins.'
 'Markmið þitt ætti þó að vera skýrt frá upphafi. [Undirskrefi] Ekki bíða eftir að tíminn sé réttur.'
 '[Undirefni] Fullur samningur eykur líkur á ákveðnum heilsu- og öryggismálum. Ef reynt er að koma heimilinu sem best á legg gæti hinn aðilinn sleppt því að gera upp við sig.'
 '[Efnisorð] Gerið skissur eða pretið út myndir sem passa vel við það sem þið viljið gera. Þetta getur hjálpað ykkur við val á verktaka og samningsskrif.']",hellaswag/validation/5616,17659,Finance and Business,wikihow~10920,val,indomain,3
[haus] Hvernig minnka á bólur yfir nótt [titill] Þvoið hendur og andlit. [skref] Áður en meðferð til að minnka bólur hefst skal þvo andlit og hendur. Með því er hægt að minnka hættu á að bakteríur breiðist út sem geta stækkað bólur eða valdið frekara niðurbroti.,,[haus] Hvernig minnka á bólur yfir nótt [titill] Þvoið hendur og andlit. [skref] Áður en meðferð til að minnka bólur hefst skal þvo andlit og hendur. Með því er hægt að minnka hættu á að bakteríur breiðist út sem geta stækkað bólur eða valdið frekara niðurbroti. ,"['[Efni] Auk þess að þrífa andlit skal skola hendurnar með volgu, sápuvatni í um þrjátíu sekúndur. Annars skal skvetta köldum vökva í andlit.'
 'Nokkrar góðar hreinlætisaðferðir til að halda þér hreinum eru: [efni] Notið andlitshreinsiefni eins og cetafil eða atorvastatin, einkum yfir búningsþurrkurnar með sýklalyfja- eða sýklalyfjasápu. Fylgið leiðbeiningunum sem fylgja gelþurrkunni.'
 '[Efni] Óhreinar hendur gera faraldur verri ef bólur blossa upp. Slökkva á krananum, nota hreint vatn og andlitshreinsi og þvo í 20-30 sekúndur undir rennandi vatni og skola síðan vandlega.'
 '[Efni] Þú getur þvegið hendur þínar með hvers kyns sápu og vatni, sem er áhrifaríkt til að fjarlægja bakteríur. Þvoðu andlit þitt með mildum hreinsiefni sem er sérstaklega hannað fyrir andlitsroðið.']",hellaswag/validation/8863,41640,Computers and Electronics,wikihow~10920,val,indomain,3
[haus] Hvernig má létta dökkar efri varir [titill] Prófaðu að nota lýsandi krem. [skref] Dökk húð á efri vör stafar af of miklu melanín í húðinni. Hægt er að draga úr útliti dökku litarefnanna með því að nota yfirborðs- eða lyfseðilsskylt lýsandi krem.,,[haus] Hvernig má létta dökkar efri varir [titill] Prófaðu að nota lýsandi krem. [skref] Dökk húð á efri vör stafar af of miklu melanín í húðinni. Hægt er að draga úr útliti dökku litarefnanna með því að nota yfirborðs- eða lyfseðilsskylt lýsandi krem. ,"['[Efni] Lyf sem eru áhrifaríkust til að létta húð eru m.a. sósínsýra, azelaic sýra, arbútín og a-vítamín, því ættir þú að leita að kremum sem innihalda sambland af þessum efnum. Hýdrókínón er mjög áhrifaríkt bleikingarefni fyrir dökka húð.'
 'Notið vörur sem innihalda albendasól, milt og ekki ertandi andlitshreinsiefni. Meðferðin er til þess að létta dökkar varir, sem þýðir að þær eru léttari og þynnri.'
 'Lesið innihaldslýsingar og uppskriftir af augnkremi og augnkremslausnum til að tryggja að þú fáir rétta meðferð og náir þeim lit sem þú vilt. [ Titill] Prófaðu salisýlsýru húðvörur.'
 'Það er náttúrulegt og fæst í flestum lyfjabúðum. [Undirskrefi] Auk þess er hægt að bæta við plástri.']",hellaswag/validation/7353,30544,Personal Care and Style,wikihow~10920,val,zeroshot,0
"[haus] Hvernig á að búa til súkkulaðibólubað [titill] Kaupa ólykt bólubað. [skref] Þú þarft að kaupa bólubað til að búa til bólu- og froðuhluta baðsins. Súkkulaðið gefur lykt og lit baðsins, svo ekki kaupa lyktað bólubað.",,"[haus] Hvernig á að búa til súkkulaðibólubað [titill] Kaupa ólykt bólubað. [skref] Þú þarft að kaupa bólubað til að búa til bólu- og froðuhluta baðsins. Súkkulaðið gefur lykt og lit baðsins, svo ekki kaupa lyktað bólubað. ","['Kaupa eina í gallon-könnu, öfugt við venjulega glerflösku. [Undirskrefi] Forðast skal að nota bólubaðsvörur, súkkulaði eða aðrar framandi (karbónaðar) vörur.'
 'Hugleiddu að kaupa bólubað sem er lyktað af ilmefnum, náttúruefnum eða jurtum og er lyktarlaust. [Undirskrefi] Lestu vörurnar sem þú kaupir og passaðu að lesa innihaldsefnið á sápuflöskunni.'
 '[Efni] Einnig er hægt að blanda nokkrum dropum af ilmkjarnaolíu í bólubaðið til að fá fram sérstaka lykt. [Titill] Fyllið stóra gler- eða plastskál með skeiðum í bólubaðsstærð.'
 'Þess í stað er gott að leita að bólubaði sem inniheldur sem minnst af hráefnum. Hægt er að finna bólubað í mörgum stórmörkuðum og bað- og líkamsgeymslum.']",hellaswag/validation/8305,37309,Personal Care and Style,wikihow~10920,val,zeroshot,3
[haus] Hvernig á að millifæra peninga með þráðum [titill] Kynntu þér millifærslur með þráðum. [skref] Millifærsla með þráðum er rafræn aðferð til að millifæra fjármuni frá einum aðila eða fyrirtæki til annars. Algeng aðferð til að millifæra fjármuni er að senda peninga milli banka.,,[haus] Hvernig á að millifæra peninga með þráðum [titill] Kynntu þér millifærslur með þráðum. [skref] Millifærsla með þráðum er rafræn aðferð til að millifæra fjármuni frá einum aðila eða fyrirtæki til annars. Algeng aðferð til að millifæra fjármuni er að senda peninga milli banka. ,"['Flestar millifærslur með þráðum krefjast skilríkja eða greiðslukorts (svo sem vegabréfsáritun eða korts) eða reiðufjár (svo sem atm atm korts). Ef þú átt greiðslukort eða reiðufé, notaðu það til að millifæra fjármuni á annan reikning í stað einstaks reiknings.'
 '[Efnisorð] Þú þarft að ganga og tala við bankann ef þú ætlar að millifæra fjármuni eftir einstaklingum. Ef þú ætlar að millifæra fjármunina í gegnum heimili þitt þá hentar þessi aðferð einnig.'
 'Til að senda millifærslu með þráðlausri millifærslu veitir sendandi upplýsingar um fjármálastofnun móttakanda í sinn eigin banka. Þegar millifærslan er fullkláruð veitir banki sendanda staðfestingarnúmer sem staðfestir millifærsluna.'
 'Bankinn rukkar ekki fyrir millifærsluna. Þó væri betra að senda hana til þriðja aðila en láta hann skipta millifærslunni við einhvern annan.']",hellaswag/validation/7675,32772,Finance and Business,wikihow~10920,val,indomain,2
"[haus] Hvernig á að hugsa um labradorhvolp [titill] Þú þarft að vita fyrirfram að þú hafir fjármagn og tíma til að hugsa um labradorhvolp. [skref] Ef þú gerir það ekki gætir þú og hvolpurinn þinn bæði liðið fyrir það. [titill] Veldu blý, kraga, skál, fæðutegund og svefnstað.",,"[haus] Hvernig á að hugsa um labradorhvolp [titill] Þú þarft að vita fyrirfram að þú hafir fjármagn og tíma til að hugsa um labradorhvolp. [skref] Ef þú gerir það ekki gætir þú og hvolpurinn þinn bæði liðið fyrir það. [titill] Veldu blý, kraga, skál, fæðutegund og svefnstað. ","['[skref] Hér mun hvolpurinn halda til æviloka, svo veldu skynsamlega. Mundu að hafa þarf fæði og vatn í skjóli.'
 '[skref] Láttu hvolpinn hafa eftirfarandi: [substeps] Þegar hvolparnir sofa þurfa þeir á góðum mat að halda. Á daginn skaltu sækja í niðursoðna matvöru.'
 '[skref] Passaðu að hafa góðar hreinsivélar og að hvolpurinn sé ekki auðveldlega hræddur við neitt. [titill] Veldu svefnsvæði til að hvolpurinn komist á klósettið.'
 '[skref] Gættu þess líka að pensli og penni séu hrein. Gættu þess líka að fyrirmyndarhvolpaburstinn sé í óhreinindum.']",hellaswag/validation/6333,22964,Pets and Animals,wikihow~10920,val,indomain,0
[haus] Hvernig undirbúa á hundinn fyrir ferðalag [titill] Farið til dýralæknis. [skref] Fyrsta skrefið í að undirbúa hundinn fyrir ferðalag er kannski að ganga úr skugga um að hann sé nógu hraustur til að fara í ferðalagið. Það ætti ekki að vera neitt vandamál ef farið er reglulega með hundinn til dýralæknis í eftirlit og annað.,,[haus] Hvernig undirbúa á hundinn fyrir ferðalag [titill] Farið til dýralæknis. [skref] Fyrsta skrefið í að undirbúa hundinn fyrir ferðalag er kannski að ganga úr skugga um að hann sé nógu hraustur til að fara í ferðalagið. Það ætti ekki að vera neitt vandamál ef farið er reglulega með hundinn til dýralæknis í eftirlit og annað. ,"['Gættu þess að dýralæknirinn sýni að hundurinn þinn sé í bólusetningum. [undirskref] Gættu þess að hafa meðferðis núverandi lyf og viðurkenndan kápu.'
 'Nefndu að hundurinn þurfi að fylgja ákveðnu matarfyrirkomulagi og hegðun á meðan á ferðinni stendur. [Undirskrefi] Ekki reyna að „prófa“ blóð hundsins fyrir neinum sjúkdómum.'
 'Ef þú hefur ekki: [Efni] Panta tíma hjá dýralækni. Talaðu við dýralækninn til að tryggja að hundurinn þinn sé upplýstur um mikilvægar bólusetningar.'
 'Dýralæknirinn getur útvegað bólusetningar, auk þess að taka hundinn inn í heimsókn hjá fagdýralækni. [undirskref] Þó að sýking í hundum sé sjaldgæf getur dýralæknirinn útvegað bóluefni við smitsjúkdómum í hundum, líkt og mislingum.']",hellaswag/validation/3374,1120,Pets and Animals,wikihow~10920,val,indomain,2
