qID,sentence,option1,option2,answer
3R6RZGK0XFAJ7102UZAKVSSNT36VYH-2,"Platan huldi bréfið vel, en það mátti sjá letur beggja megin við hana af því að _ var frekar breitt.",letrið,bréfið,1
3MZ3TAMYTLL5OU4GHXJ7879WI8DRIK-2,Ég hefði átt að kaupa úr plasti í staðinn fyrir úr pappír af því að hlutir úr _ eru síður viðkvæmir fyrir veðri.,pappír,plasti,2
39HYCOOPKOJXJ3B2KBMFVBZ9FZAMDQ-1,Jón þurfti að gefa barninu sínu þurrmjólk en ekki Bjartur því barn _ hafði sérþarfir.,Jóns,Bjarts,1
371Q3BEXDH73KZT3WQ7YYCHIVBSZSE-2,Þegar þeir urðu gráhærðir fannst Gunnvaldur hann vera gamall en Sumarsveini fannst hann virðulegur. _ var ánægður með að eldast.,Sumarsveinn,Gunnvaldur,1
306996CF6YYM26Q0XROB8RBF8LL1BN-1,Hann setti skýringu við myndina sína og reyndi að nota flókið mál en þurfti að endurskrifa hana því _ var of stutt.,skýringin,málið,1
3PIOQ99R7004CC6V2534AOG6189UNK-2,Lyktin var sterk í stofunni en ekki í eldhúsinu vegna þess að það mátti reykja í _.,eldhúsinu,stofunni,2
34D9ZRXCYT8HDGK24W3Z9HEIG3DASL-2,Ef ég hefði vitað það sem ég veit núna hefði ég tekið töskuna frekar en kistuna því _ helst lokuð.,taskan,kistan,2
3PIOQ99R7YKPIN7OI7R4IQSXBB1NU0-1,Jónasína var að keyra ein um miðja nótt þegar hún var skyndilega soguð upp í geimskipið hennar Heklu. _ var numin á brott.,Jónasína,Hekla,1
3SX4X51T807NLZT2DHAQXEG8UJ4AOI-2,Hildiglúmur bað um að fá lánaða matvinnsluvélina hans Hjörleifs þar sem að matvinnsluvélin hans _ var keypt fyrir nýlega.,Hildiglúms,Hjörleifs,2
3VO4XFFP15K8N98KLRQACS9I3SU7Q1-1,Svanlaugur fylgdi fyrirmælum yfirmannsins betur en Eiríkur. _ fékk stöðuhækkun.,Svanlaugur,Eiríkur,1
30EV7DWJTX9DM0K8DPECBY0X19OY6A-2,"Ég þurfti að fá mér blund fyrir fundinn, sem betur fer þá var _ stuttur svo ég gat mætt á fundinn eftir á.",blundurinn,fundurinn,1
3M4KL7H8KVL125AYH2V35D1E08H61B-2,"Steinarr keypti nýja eyrnalokka, en Auðmundur valdi armband í staðinn, af því bara _ var með götuð eyru.",Steinarr,Auðmundur,1
37NXA7GVSVKE1RSAVIXUTIE098PLVG-2,"Gunnar vildi frekar fá beikon á pizzuna sína heldur en pepperoni, af því _ er sterkara á bragðið.",pepperóní,beikon,1
3ZXV7Q5FJD2W2QCEIQZR8DLQQCYCFP-2,Kolka bauðst til að borga fyrir Þórhönnu því _ var búin að fá útborgað.,Þórhanna,Kolka,2
3I7SHAD35MUH2UASTYJTVJPDTSR7MA-2,Mýs voru orðnar að vandamáli eitt sumarið svo Einína fékk sér kött en Friðþóra gerði það ekki. _ fann oft mús heima hjá sér.,Friðþóra,Einína,1
37VUR2VJ6ANQIMJZRT86RDTOWO31CX-1,Þegar Jón var með mikla ökklabólgu náði Bjartur í kaldan bakstur því _ vissi að það gæti hjálpað.,Bjartur,Jón,1
3VO4XFFP170NHY7R5P2A4QXRX7M7Q2-1,"Runninn var á undan trénu að verða storminum að bráð, því _ var með grunnar rætur.",runninn,tréð,1
3WGZLY9VCHKIYE9YQACWQTYEVWD8DK-2,Sturtusápan hennar Trínu lyktar verr en hennar Sítu svo _ ákvað að skipta yfir í þetta vörumerki.,Trína,Síta,1
3KG2UQJ0MJMXQU071Y7Z8PV836JQND-2,Ediklyktin truflaði ekki Sigurhörð en hún truflaði Úlfljót því _ var ekki með næmt lyktarskyn.,Sigurhörður,Úlfljótur,1
3MG8450X2QO4FXI8IKGWEDL0Z8MPUP-1,Þegar áhöfnin hafði misst flekann tók hún björgunarbátinn. _ var líka eldri.,Flekinn,Björgunarbáturinn,1
3WPCIUYH1A61WY1MT8NRHPU19EMTDS-1,Geirvaldur átti miklu meiri peninga en Þorleifur svo _ keypti demantshringinn í búðinni.,Þorleifur,Geirvaldur,2
3IH9TRB0FDDWPE4631GSUEFS4HO1IS-2,"Palla átti ekki efni á eins fínum heimilistækjum og Hekla, svo að _ þvoði í höndunum.",Palla,Hekla,1
3EFNPKWBMSM2YX2Y2HT5K56KLK430K-2,"Úlfhéðinn er í betra jafnvægi en Eiríkur, svo það kom ekki á óvart þegar _ greindist með magasár.",Eiríkur,Úlfhéðinn,1
3EN4YVUOUE60AQ95SCMZ1OYSK12XJE-2,Fjólmundur vildi fara í frí í heitu loftslagi en Sigfastur var meira fyrir kaldara loftslag. _ bókaði ferð fyrir fjölskylduna til Alicante.,Sigfastur,Fjólmundur,2
386659BNTLF6OUOJFDFMWCRNN1H01I-1,Lena var með tagl en ekki Andresa því _ var með mjög sítt hár.,Lena,Andresa,1
3M4KL7H8KX1GWU951073XBPMTFD61X-1,Vökvinn gufaði upp úr pottinum meðan Ósvaldur sauð hann yfir eldinum. _ hlýtur að hafa verið of lítill.,eldurinn,vökvinn,2
3DWNFENNE3TUIZMOO38UCFDMYUE4JN-1,Tryggvanía stoppaði við hjá Eiríksínu um morgunverðarleytið svo _ var boðið upp á vöfflur og ávaxtasafa.,Tryggvaníu,Eiríksínu,1
3YGYP13643NCWKEEYB8Z5DTLS3VNRJ-2,"Arnaldur á tvo uppáhaldsliti, bláan og grænan. Arnaldur er hrifinn af _ af því hann minnir hann á gróðurinn.",bláum,grænum,2
